departure_airport,arrival_airport,airlines,aircraft_types
Licenciado Benito Juarez International Airport,Don Miguel Hidalgo Y Costilla International Airport,Flybe Finland Oy;LIO Flugmennt;Sky Bahamas;Northwood Headquarters,Embraer 170;Boeing 737-800;Boeing 737-300;Airbus A320;Airbus A319;Embraer 175;Boeing 737
Licenciado Benito Juarez International Airport,El Dorado International Airport,Northwood Headquarters;Sky Bahamas;Salair;Socofer,Airbus A330;Boeing 737-700;Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,El Lencero Airport,Norlandair;Sky Bahamas,Aerospatiale/Alenia ATR 42-600
Licenciado Benito Juarez International Airport,El Tajin National Airport,Norlandair,Aerospatiale/Alenia ATR 42-600
Licenciado Benito Juarez International Airport,Francisco Sarabia International Airport,Northwood Headquarters;LIO Flugmennt,Boeing 737-300;Sukhoi Superjet 100-95
Licenciado Benito Juarez International Airport,General Abelardo L. Rodriguez International Airport,Telford Aviation;Flybe Finland Oy;Northwood Headquarters;Sky Bahamas,Boeing 767-200;Boeing 777;Airbus A320;Airbus A319;Boeing 787;Boeing 737
Licenciado Benito Juarez International Airport,General Francisco J. Mujica International Airport,Norlandair,Aerospatiale/Alenia ATR 42-600
Licenciado Benito Juarez International Airport,General Francisco Javier Mina International Airport,Northwood Headquarters;Sky Bahamas,Embraer 170;Embraer 175;Airbus A320
Licenciado Benito Juarez International Airport,General Heriberto Jara International Airport,Norlandair;Northwood Headquarters;Sky Bahamas,Aerospatiale/Alenia ATR 42-600;Embraer 175;Aerospatiale/Alenia ATR 72;Airbus A320
Licenciado Benito Juarez International Airport,General Ignacio P. Garcia International Airport,Northwood Headquarters;Flybe Finland Oy;Sky Bahamas,Airbus A319;Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,General Juan N Alvarez International Airport,Star Aviation;Norlandair;Northwood Headquarters;Sky Bahamas,Embraer 170;Boeing 737-800;Airbus A320;Aerospatiale/Alenia ATR 42-600;Embraer 175;Boeing 737
Licenciado Benito Juarez International Airport,General Leobardo C. Ruiz International Airport,Northwood Headquarters,Sukhoi Superjet 100-95
Licenciado Benito Juarez International Airport,General Lucio Blanco International Airport,Northwood Headquarters;LIO Flugmennt;Sky Bahamas,Embraer 170;Boeing 737-300;Sukhoi Superjet 100-95
Licenciado Benito Juarez International Airport,General Mariano Escobedo International Airport,Northwood Headquarters;Sky Bahamas;LIO Flugmennt;Thai Flying Helicopter Service;Tajikair;Flybe Finland Oy,Boeing 737-800;Boeing 737-300;Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,General Pedro Jose Mendez International Airport,Norlandair;Sky Bahamas,Aerospatiale/Alenia ATR 42-600
Licenciado Benito Juarez International Airport,General Rafael Buelna International Airport,Flybe Finland Oy;Northwood Headquarters;LIO Flugmennt,Airbus A319;Boeing 737-300;Sukhoi Superjet 100-95
Licenciado Benito Juarez International Airport,General Roberto Fierro Villalobos International Airport,Northwood Headquarters;Flybe Finland Oy;Sky Bahamas,Airbus A319;Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,General Rodolfo Sanchez Taboada International Airport,Flybe Finland Oy;Sky Bahamas,Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,General Servando Canales International Airport,Norlandair,Aerospatiale/Alenia ATR 42-600
Licenciado Benito Juarez International Airport,George Bush Intercontinental Houston Airport,XP Internation;Sheremetyevo-Cargo,Boeing 737-700;Boeing 737-800;Airbus A319;Airbus A320
Licenciado Benito Juarez International Airport,Guarulhos - Governador Andre Franco Montoro International Airport,Tranporte Aereo Dominicano;Sky Bahamas,Airbus A330;Boeing 777
Licenciado Benito Juarez International Airport,Hartsfield Jackson Atlanta International Airport,Sky Bahamas;Wind Rose Aviation;Star Aviation;Hellenic Star Airways;Thai Flying Helicopter Service,Boeing 737-800
Licenciado Benito Juarez International Airport,Ingeniero Alberto Acuna Ongay International Airport,Northwood Headquarters;Sky Bahamas,Embraer 170;Sukhoi Superjet 100-95
Licenciado Benito Juarez International Airport,Ixtapa Zihuatanejo International Airport,Norlandair;Northwood Headquarters,Aerospatiale/Alenia ATR 42-600;Airbus A320
Licenciado Benito Juarez International Airport,Jesus Teran Paredo International Airport,Northwood Headquarters;Sky Bahamas,Embraer 170;Embraer 175;Sukhoi Superjet 100-95
Licenciado Benito Juarez International Airport,John F Kennedy International Airport,Star Aviation;Northwood Headquarters;Sky Bahamas;Sunbird Airlines,Boeing 737-800;Airbus A320;Boeing 757;Boeing 787
Licenciado Benito Juarez International Airport,John Wayne Airport-Orange County Airport,Northwood Headquarters;Sky Bus,Boeing 737-700;Airbus A320
Licenciado Benito Juarez International Airport,Jorge Chavez International Airport,Tajikair;Sky Bahamas;Socofer,Boeing 767-200;Boeing 737-800;Boeing 767-300;Airbus A320;Airbus A319
Licenciado Benito Juarez International Airport,Jose Marti International Airport,Northwood Headquarters;Sky Bahamas;Southeast Airmotive,Airbus A319;Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,Juan Santamaria International Airport,Northwood Headquarters;Sky Bahamas;Socofer,Boeing 737-800;Airbus A319;Airbus A320
Licenciado Benito Juarez International Airport,La Aurora Airport,Northwood Headquarters,Airbus A320
Licenciado Benito Juarez International Airport,Lazard Cardenas Airport,Norlandair;Sky Bahamas,Aerospatiale/Alenia ATR 42-600
Licenciado Benito Juarez International Airport,Lester B. Pearson International Airport,Socofer;Sahel Aviation Service,Airbus A319
Licenciado Benito Juarez International Airport,Licenciado Gustavo Diaz Ordaz International Airport,Flybe Finland Oy;LIO Flugmennt;Sky Bahamas;Northwood Headquarters,Boeing 737-800;Airbus A320;Airbus A319;Boeing 737-300;Boeing 737
Licenciado Benito Juarez International Airport,Licenciado Manuel Crescencio Rejon Int Airport,Star Aviation;Northwood Headquarters;Flybe Finland Oy;Sky Bahamas,Embraer 170;Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,Licenciado Miguel de la Madrid Airport,Norlandair;Sky Bahamas,Aerospatiale/Alenia ATR 42-600
Licenciado Benito Juarez International Airport,London Heathrow Airport,Skydrift;Sky Bahamas,Boeing 747-400;Boeing 787
Licenciado Benito Juarez International Airport,Los Angeles International Airport,XP Internation;Sky Bahamas;Star Aviation;Tajikstan;Flybe Finland Oy;SAM Colombia,Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,Los Cabos International Airport,Northwood Headquarters;Flybe Finland Oy;Sky Bahamas,Boeing 737-800;Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,Manuel Marquez de Leon International Airport,Northwood Headquarters;Flybe Finland Oy,Sukhoi Superjet 100-95;Airbus A320
Licenciado Benito Juarez International Airport,Mariscal Sucre International Airport,Sky Bahamas,Boeing 737
Licenciado Benito Juarez International Airport,McCarran International Airport,Star Aviation;Flybe Finland Oy;Sky Bahamas,Airbus A319;Boeing 737
Licenciado Benito Juarez International Airport,Miami International Airport,Northwood Headquarters;Sky Bahamas;Star Aviation;Sunshine Air Tours;Sunbird Airlines;Zantop International Airlines;Skydrift;SAM Colombia,Boeing 737-800;Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,Ministro Pistarini International Airport,Sky Bahamas,Boeing 767-200;Boeing 767-300;Boeing 777
Licenciado Benito Juarez International Airport,Monsenor Oscar Arnulfo Romero International Airport,Socofer,Airbus A319;Airbus A320
Licenciado Benito Juarez International Airport,Montreal / Pierre Elliott Trudeau International Airport,Sky Bahamas,Boeing 737-800
Licenciado Benito Juarez International Airport,Munich Airport,Eagle Canyon Airlines,Airbus A340-600
Licenciado Benito Juarez International Airport,Newark Liberty International Airport,XP Internation,Boeing 737-800;Boeing 737-700
Licenciado Benito Juarez International Airport,Orlando International Airport,Star Aviation;Flybe Finland Oy;Sky Bahamas,Airbus A319;Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,Palenque International Airport,Northwood Headquarters,Sukhoi Superjet 100-95
Licenciado Benito Juarez International Airport,Phoenix Sky Harbor International Airport,Zantop International Airlines;Flybe Finland Oy;SAM Colombia,Airbus A319
Licenciado Benito Juarez International Airport,Piedras Negras International Airport,Norlandair,Aerospatiale/Alenia ATR 42-600
Licenciado Benito Juarez International Airport,Playa De Oro International Airport,Northwood Headquarters;Sky Bahamas;Norlandair,Aerospatiale/Alenia ATR 42-600;Embraer 175;Sukhoi Superjet 100-95
Licenciado Benito Juarez International Airport,Ponciano Arriaga International Airport,Norlandair,Aerospatiale/Alenia ATR 42-600
Licenciado Benito Juarez International Airport,Puerto Escondido International Airport,Norlandair;LIO Flugmennt;Sky Bahamas,Boeing 737-300;Aerospatiale/Alenia ATR 42-600
Licenciado Benito Juarez International Airport,Ramon Villeda Morales International Airport,Sky Bahamas,Embraer 170
Licenciado Benito Juarez International Airport,San Antonio International Airport,Northwood Headquarters;Sky Bus,Boeing 737-700;Airbus A320
Licenciado Benito Juarez International Airport,San Diego International Airport,Flybe Finland Oy,Airbus A319
Licenciado Benito Juarez International Airport,San Francisco International Airport,Star Aviation;XP Internation;Sky Bahamas;Tajikstan,Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,Simon Bolivar International Airport,Sky Bahamas,Boeing 737
Licenciado Benito Juarez International Airport,Tapachula International Airport,Sky Bahamas,Embraer 170;Embraer 175
Licenciado Benito Juarez International Airport,Tocumen International Airport,Sky Bahamas;Salair,Boeing 737-800;Boeing 737-700
Licenciado Benito Juarez International Airport,Valle del Fuerte International Airport,Sky Bahamas,Embraer 170
Licenciado Benito Juarez International Airport,Vancouver International Airport,Sahel Aviation Service,Airbus A319
Licenciado Benito Juarez International Airport,Washington Dulles International Airport,Star Aviation;XP Internation;Sky Bahamas,Boeing 737;Airbus A320
Licenciado Benito Juarez International Airport,Xoxocotlan International Airport,Northwood Headquarters;Sky Bahamas,Embraer 175;Airbus A320
Licenciado Gustavo Diaz Ordaz International Airport,Calgary International Airport,Sahel Aviation Service,Airbus A319
Licenciado Gustavo Diaz Ordaz International Airport,Chicago O'Hare International Airport,Zantop International Airlines;XP Internation;SAM Colombia;Swedish Airlines,McDonnell Douglas MD-83;Boeing 737-900;Airbus A320
Licenciado Gustavo Diaz Ordaz International Airport,Dallas Fort Worth International Airport,Zantop International Airlines;SAM Colombia,McDonnell Douglas MD-83
Licenciado Gustavo Diaz Ordaz International Airport,Denver International Airport,XP Internation;Swedish Airlines,Boeing 737-800;Airbus A319
Licenciado Gustavo Diaz Ordaz International Airport,General Abelardo L. Rodriguez International Airport,Flybe Finland Oy,Airbus A319
Licenciado Gustavo Diaz Ordaz International Airport,General Mariano Escobedo International Airport,Flybe Finland Oy;LIO Flugmennt,Boeing 737-300;Airbus A320
Licenciado Gustavo Diaz Ordaz International Airport,George Bush Intercontinental Houston Airport,XP Internation,Boeing 737-800
Licenciado Gustavo Diaz Ordaz International Airport,Hartsfield Jackson Atlanta International Airport,Star Aviation;Sham Wing Airlines;Thai Flying Helicopter Service;Sky Bahamas,Boeing 757
Licenciado Gustavo Diaz Ordaz International Airport,Licenciado Adolfo Lopez Mateos International Airport,Northwood Headquarters,Airbus A320
Licenciado Gustavo Diaz Ordaz International Airport,Licenciado Benito Juarez International Airport,Flybe Finland Oy;LIO Flugmennt;Sky Bahamas;Northwood Headquarters,Boeing 737-800;Airbus A320;Airbus A319;Boeing 737-300;Boeing 737
Licenciado Gustavo Diaz Ordaz International Airport,Los Angeles International Airport,Star Aviation;XP Internation;South Central Air;Sky Bahamas,Boeing 737-900;Boeing 737-800;Airbus A320
Licenciado Gustavo Diaz Ordaz International Airport,Montreal / Pierre Elliott Trudeau International Airport,Wind Spirit Air,Boeing 737-800
Licenciado Gustavo Diaz Ordaz International Airport,Newark Liberty International Airport,XP Internation,Boeing 737-800
Licenciado Gustavo Diaz Ordaz International Airport,Phoenix Sky Harbor International Airport,Zantop International Airlines;SAM Colombia,Airbus A319;Airbus A321;Airbus A320
Licenciado Gustavo Diaz Ordaz International Airport,Salt Lake City International Airport,Star Aviation;Sky Bahamas,Canadair Regional Jet 900
Licenciado Gustavo Diaz Ordaz International Airport,San Diego International Airport,SAM Colombia,Boeing 737
Licenciado Gustavo Diaz Ordaz International Airport,San Francisco International Airport,XP Internation;Sky Bahamas;Flugfelag Vestmannaeyja;South Central Air;SAM Colombia,Boeing 737-900;Boeing 737;Airbus A320
Licenciado Gustavo Diaz Ordaz International Airport,St Louis Lambert International Airport,Swedish Airlines,Airbus A319
Licenciado Gustavo Diaz Ordaz International Airport,Vancouver International Airport,Wind Spirit Air;Sahel Aviation Service,Airbus A330;Airbus A319
Licenciado Manuel Crescencio Rejon Int Airport,Cancun International Airport,Rikspolisstyrelsen,Fairchild Dornier Do.228
Licenciado Manuel Crescencio Rejon Int Airport,Carlos Rovirosa Perez International Airport,Sky Bahamas;Rikspolisstyrelsen,Aerospatiale/Alenia ATR 72;Fairchild Dornier Do.228
Licenciado Manuel Crescencio Rejon Int Airport,Don Miguel Hidalgo Y Costilla International Airport,Flybe Finland Oy;LIO Flugmennt,Boeing 737-300;Airbus A319
Licenciado Manuel Crescencio Rejon Int Airport,General Mariano Escobedo International Airport,Flybe Finland Oy;LIO Flugmennt,Boeing 737-300;Airbus A320
Licenciado Manuel Crescencio Rejon Int Airport,George Bush Intercontinental Houston Airport,XP Internation,Boeing 737-800;Boeing 737-700
Licenciado Manuel Crescencio Rejon Int Airport,Licenciado Benito Juarez International Airport,Northwood Headquarters;Flybe Finland Oy;Sky Bahamas,Embraer 170;Boeing 737;Airbus A320
Licenciado Miguel de la Madrid Airport,General Abelardo L. Rodriguez International Airport,Flybe Finland Oy,Airbus A320
Licenciado Miguel de la Madrid Airport,Licenciado Benito Juarez International Airport,Norlandair;Sky Bahamas,Aerospatiale/Alenia ATR 42-600
Licenciado y General Ignacio Lopez Rayon Airport,General Abelardo L. Rodriguez International Airport,Flybe Finland Oy,Airbus A319;Airbus A320
Licenciado y General Ignacio Lopez Rayon Airport,Los Angeles International Airport,Flybe Finland Oy,Airbus A319;Airbus A320
Lichinga Airport,Chingozi Airport,Whyalla Airlines,Embraer EMB 120 Brasilia
Lichinga Airport,Nampula Airport,Whyalla Airlines,Boeing 737-500;Embraer 190;Embraer EMB 120 Brasilia
Liege Airport,Ajaccio-Napoleon Bonaparte Airport,Malaysia Wings;Sham Wing Airlines,Airbus A320
Liege Airport,Al Massira Airport,Samar Air,Airbus A320
Liege Airport,Bastia-Poretta Airport,Malaysia Wings;Sham Wing Airlines,Airbus A320
Liege Airport,Diagoras Airport,Samar Air,Airbus A320
Liege Airport,Heraklion International Nikos Kazantzakis Airport,Samar Air,Airbus A320
Liege Airport,Lille-Lesquin Airport,Samar Air,Airbus A320
Liege Airport,Palma De Mallorca Airport,Samar Air,Airbus A320
Lien Khuong Airport,Da Nang International Airport,Air 26,Aerospatiale/Alenia ATR 72
Lien Khuong Airport,Noi Bai International Airport,Air 26;Air Century,Airbus A321;Airbus A320
Lien Khuong Airport,Tan Son Nhat International Airport,Air 26;Air Century,Airbus A321;Airbus A320
Lifou Airport,Noumea Magenta Airport,Winlink,Aerospatiale/Alenia ATR 42-600
Lifou Airport,Ouvea Airport,Winlink,De Havilland Canada DHC-6 Twin Otter
Lifou Airport,Tiga Airport,Winlink,De Havilland Canada DHC-6 Twin Otter
Lihue Airport,Daniel K Inouye International Airport,Zantop International Airlines;XP Internation;Streamline;Holidays Czech Airlines,Boeing 717;Aerospatiale/Alenia ATR 72
Lihue Airport,Denver International Airport,XP Internation,Boeing 757-200
Lihue Airport,Kahului Airport,Streamline,Boeing 717
Lihue Airport,Los Angeles International Airport,XP Internation;Star Aviation;Zantop International Airlines;South Central Air;SAM Colombia,Boeing 757;Boeing 757-200
Lihue Airport,Metropolitan Oakland International Airport,SAM Colombia,Boeing 737
Lihue Airport,Norman Y. Mineta San Jose International Airport,SAM Colombia,Boeing 737
Lihue Airport,Phoenix Sky Harbor International Airport,Zantop International Airlines;SAM Colombia,Boeing 757;Boeing 757-200
Lihue Airport,San Francisco International Airport,XP Internation,Boeing 757-200
Lijiang Airport,Beijing Capital International Airport,Sector Airlines;Sheremetyevo-Cargo;Tramson Limited;AtlasGlobal Ukraine,Airbus A319;Boeing 737;Airbus A320
Lijiang Airport,Changsha Huanghua International Airport,Rotormotion;Smalandsflyg,Airbus A319;Airbus A321;Airbus A320
Lijiang Airport,Chengdu Shuangliu International Airport,Sector Airlines;Skyways;Quisqueya Airlines;Sheremetyevo-Cargo;AtlasGlobal Ukraine,Airbus A319;Airbus A320
Lijiang Airport,Chongqing Jiangbei International Airport,Servicos De Alquiler;Travel Express Aviation Services;Taxis Aereos De Parral;Rotormotion;Quisqueya Airlines;Sheremetyevo-Cargo;AtlasGlobal Ukraine,Airbus A321;Airbus A319;Boeing 737;Airbus A320
Lijiang Airport,Guangzhou Baiyun International Airport,Sector Airlines;Tramson Limited,Boeing 737-300;Airbus A319
Lijiang Airport,Guilin Liangjiang International Airport,Sector Airlines,Airbus A319
Lijiang Airport,Hangzhou Xiaoshan International Airport,Servicos De Alquiler;Sector Airlines;Taxis Aereos De Parral;Sheremetyevo-Cargo;AtlasGlobal Ukraine,Airbus A319;Boeing 737
Lijiang Airport,Hefei Luogang International Airport,Rotormotion,Airbus A319
Lijiang Airport,Hong Kong International Airport,Tramson Limited,Boeing 737
Lijiang Airport,Incheon International Airport,Top Sky International,Airbus A320
Lijiang Airport,Kunming Changshui International Airport,Servicos De Alquiler;Sector Airlines;Rotormotion;Toumai Air Tchad;AtlasGlobal Ukraine;Sham Wing Airlines;Tramson Limited,Boeing 737-800;Boeing 737-700;Airbus A320;Airbus A319;Airbus A321;Boeing 737-300;Boeing 737
Lijiang Airport,Longdongbao Airport,Rotormotion;Servicos De Alquiler,Airbus A319
Lijiang Airport,Mianyang Airport,Quisqueya Airlines,Airbus A319
Lijiang Airport,Nanjing Lukou Airport,Rotormotion;Sector Airlines,Airbus A319
Lijiang Airport,Nanning Wuxu Airport,Toumai Air Tchad,Boeing 737-700
Lijiang Airport,Ningbo Lishe International Airport,Rotormotion,Airbus A319
Lijiang Airport,Shanghai Hongqiao International Airport,Tramson Limited,Boeing 737
Lijiang Airport,Shenzhen Bao'an International Airport,Rotormotion,Airbus A321
Lijiang Airport,Shijiazhuang Daguocun International Airport,Sector Airlines,Airbus A319
Lijiang Airport,Singapore Changi Airport,Winair,Airbus A320
Lijiang Airport,Taiwan Taoyuan International Airport,Samal Air,Boeing 737-800
Lijiang Airport,Taiyuan Wusu Airport,Rotormotion,Airbus A319
Lijiang Airport,Tengchong Tuofeng Airport,Tramson Limited,Boeing 737-300
Lijiang Airport,Wuhan Tianhe International Airport,Rotormotion;Sector Airlines;Smalandsflyg,Airbus A319;Airbus A321;Airbus A320
Lijiang Airport,Xi'an Xianyang International Airport,Sector Airlines;Rotormotion;Toumai Air Tchad;AtlasGlobal Ukraine;Tramson Limited,Boeing 737-800;Airbus A319;Boeing 737-700;Airbus A321
Lijiang Airport,Xishuangbanna Gasa Airport,Sector Airlines;Rotormotion;Toumai Air Tchad;AtlasGlobal Ukraine;Tramson Limited,Boeing 737-800;Airbus A319;Boeing 737-700;Boeing 737
Lijiang Airport,Yaoqiang Airport,Sector Airlines,Airbus A319
Lijiang Airport,Zhengzhou Xinzheng International Airport,Rotormotion,Airbus A319;Airbus A321
Lille-Lesquin Airport,Ajaccio-Napoleon Bonaparte Airport,Dan-Air London;Samar Air,Boeing 717;Airbus A320
Lille-Lesquin Airport,Barcelona International Airport,Grand China Air;Sunshine Air Tours,Airbus A320
Lille-Lesquin Airport,Bastia-Poretta Airport,Dan-Air London;SASCO Airlines,Embraer 170;Boeing 717
Lille-Lesquin Airport,Biarritz-Anglet-Bayonne Airport,SASCO Airlines,Embraer RJ145
Lille-Lesquin Airport,Bordeaux-Merignac Airport,Woodgate Executive Air Charter;SASCO Airlines,Embraer 170;Canadair Regional Jet 700;Embraer 190;Airbus A319
Lille-Lesquin Airport,Diagoras Airport,Samar Air,Airbus A320
Lille-Lesquin Airport,Djerba Zarzis International Airport,Skyjet,Airbus A321
Lille-Lesquin Airport,Dubrovnik Airport,Samar Air,Airbus A320
Lille-Lesquin Airport,Es Senia Airport,Boliviana de Aviacion;Swiss Air-Ambulance,Boeing 737-600;Airbus A320
Lille-Lesquin Airport,Faro Airport,Samar Air,Airbus A320
Lille-Lesquin Airport,Figari Sud-Corse Airport,SASCO Airlines,Canadair Regional Jet 1000
Lille-Lesquin Airport,Francisco de Sa Carneiro Airport,Sky Wings Airlines,Boeing 737-800
Lille-Lesquin Airport,Fuerteventura Airport,Samar Air,Airbus A320
Lille-Lesquin Airport,Geneva Cointrin International Airport,Woodgate Executive Air Charter,Airbus A319;Airbus A320
Lille-Lesquin Airport,Heraklion International Nikos Kazantzakis Airport,Samar Air,Airbus A319;Airbus A320
Lille-Lesquin Airport,Houari Boumediene Airport,Boliviana de Aviacion;Swiss Air-Ambulance,Boeing 737-800;Airbus A320
Lille-Lesquin Airport,Ioannis Kapodistrias International Airport,Samar Air,Airbus A320
Lille-Lesquin Airport,Liege Airport,Samar Air,Airbus A320
Lille-Lesquin Airport,Lyon Saint-Exupery Airport,SASCO Airlines,Embraer RJ145
Lille-Lesquin Airport,Marseille Provence Airport,Sky Wings Airlines;Sham Wing Airlines,Boeing 737-800;Airbus A319
Lille-Lesquin Airport,Montpellier-Mediterranee Airport,SASCO Airlines,Embraer 170
Lille-Lesquin Airport,Nantes Atlantique Airport,SASCO Airlines,Embraer RJ145
Lille-Lesquin Airport,Nice-Cote d'Azur Airport,Sham Wing Airlines;Woodgate Executive Air Charter,Airbus A319;Airbus A320
Lille-Lesquin Airport,Split Airport,Samar Air,Airbus A320
Lille-Lesquin Airport,Strasbourg Airport,SASCO Airlines,Embraer RJ145
Lille-Lesquin Airport,Toulouse-Blagnac Airport,Woodgate Executive Air Charter;SASCO Airlines,Embraer 170;Airbus A319
Lilongwe International Airport,Chileka International Airport,Safari Express Cargo,Boeing 737-800
Lilongwe International Airport,Jomo Kenyatta International Airport,Thai Flying Helicopter Service;Sham Wing Airlines;TG Aviation,Embraer 190;Boeing 767-300;Boeing 737-800
Lilongwe International Airport,Kenneth Kaunda International Airport Lusaka,Thai Flying Helicopter Service;Transportacion Aerea Del Mar De Cortes;TG Aviation;Sham Wing Airlines,Embraer 190;Avro RJ85;British Aerospace Jetstream 41;Embraer 170
Lilongwe International Airport,OR Tambo International Airport,VIP-Avia,Boeing 737-800;Airbus A340-300;Airbus A330-200
Limnos Airport,Eleftherios Venizelos International Airport,State Air Company Berkut;Triple Alpha,De Havilland Canada DHC-8-400 Dash 8Q
Limnos Airport,Ikaria Airport,Servicios Aereos Premier,British Aerospace Jetstream 41
Limnos Airport,Mytilene International Airport,Servicios Aereos Premier,British Aerospace Jetstream 41
Limnos Airport,Thessaloniki Macedonia International Airport,Servicios Aereos Premier,British Aerospace Jetstream 41
Limoges Airport,Avignon-Caumont Airport,Shawnee Airline,Aerospatiale/Alenia ATR 42-600
Limoges Airport,Bristol Airport,Sky Wings Airlines,Boeing 737-800
Limoges Airport,East Midlands Airport,Sky Wings Airlines,Boeing 737-800
Limoges Airport,Leeds Bradford Airport,Sky Wings Airlines,Boeing 737-800
Limoges Airport,Liverpool John Lennon Airport,Sky Wings Airlines,Boeing 737-800
Limoges Airport,London Stansted Airport,Sky Wings Airlines,Boeing 737-800
Limoges Airport,Lyon Saint-Exupery Airport,Shawnee Airline,Aerospatiale/Alenia ATR 42-600
Limoges Airport,Nice-Cote d'Azur Airport,West Coast Airlines,Beechcraft 1900
Limoges Airport,Paris-Orly Airport,West Coast Airlines,Beechcraft 1900
Limoges Airport,Southampton Airport,Sham Wing Airlines;Servicio Tecnico Aero De Mexico,De Havilland Canada DHC-8-400 Dash 8Q
Lindu Airport,Taiping Airport,Servicos De Alquiler,Airbus A320
Lindu Airport,Zhoushuizi Airport,Tramson Limited,Airbus A320
Lingling Airport,Kunming Changshui International Airport,Tramson Limited,Boeing 737
Lingling Airport,Shenzhen Bao'an International Airport,Tramson Limited,Boeing 737
Linkoeping City Airport,Amsterdam Airport Schiphol,Thai Flying Helicopter Service,Fokker 70
Linkoeping City Airport,Copenhagen Kastrup Airport,Vuelos Internos Privados VIP,Aerospatiale/Alenia ATR 72
Lintsang Airfield,Kunming Changshui International Airport,Servicos De Alquiler;Tramson Limited,Boeing 737-300
Linz Horsching Airport,Antalya International Airport,Executive AirShare,Boeing 737-800
Linz Horsching Airport,Dusseldorf Airport,Eagle Canyon Airlines;Austrian Airlines,De Havilland Canada DHC-8-400 Dash 8Q
Linz Horsching Airport,Frankfurt am Main Airport,Eagle Canyon Airlines;Austrian Airlines,Embraer 190;Canadair Regional Jet 700
Linz Horsching Airport,Heraklion International Nikos Kazantzakis Airport,Servicios Aereos Slainte;Servicios Aereos Nacionales,Airbus A321
Linz Horsching Airport,London Stansted Airport,Sky Wings Airlines,Boeing 737-800
Linz Horsching Airport,Palma De Mallorca Airport,Servicios Aereos Slainte;Servicios Aereos Nacionales,Airbus A320
Linz Horsching Airport,Salzburg Airport,Executive AirShare,Boeing 737-800
Linz Horsching Airport,Vienna International Airport,Austrian Airlines,Fairchild Dornier Do.328;De Havilland Canada DHC-8-400 Dash 8Q
Liping Airport,Guangzhou Baiyun International Airport,Servicos De Alquiler,Embraer 190
Liping Airport,Longdongbao Airport,Salem;Tramson Limited,Canadair Regional Jet 200;Airbus A319
Lismore Airport,Sydney Kingsford Smith International Airport,Alghanim,Saab SF340A/B
Liuting Airport,Baita International Airport,Servicos De Alquiler,Boeing 737-700
Liuting Airport,Beijing Capital International Airport,Sector Airlines;Sheremetyevo-Cargo;AtlasGlobal Ukraine;Tramson Limited;Volare Airlines,Boeing 737-800;Airbus A320;Airbus A319;Airbus A321;Boeing 737
Liuting Airport,Changsha Huanghua International Airport,Taxis Aereos De Parral;Servicos De Alquiler;Sentel Corporation;AtlasGlobal Ukraine,Boeing 737-800;Boeing 737;Airbus A321;Airbus A320
Liuting Airport,Chengdu Shuangliu International Airport,Quisqueya Airlines;Sheremetyevo-Cargo;Top Sky International;AtlasGlobal Ukraine;Tramson Limited;Volare Airlines,Boeing 737-800;Airbus A321;Airbus A320
Liuting Airport,Chongqing Jiangbei International Airport,Sheremetyevo-Cargo;Travel Express Aviation Services;Volare Airlines,Boeing 737-800;Airbus A319;Airbus A320
Liuting Airport,Chubu Centrair International Airport,TAG Aviation USA;Tramson Limited,Airbus A321
Liuting Airport,Dandong Airport,South Coast Aviation;Tramson Limited,Boeing 737
Liuting Airport,Fukuoka Airport,TAG Aviation USA;Tramson Limited,Airbus A319
Liuting Airport,Fuzhou Changle International Airport,Taxis Aereos De Parral;Servicos De Alquiler;Servicios Aereos Profesionales,Embraer 190;Boeing 737
Liuting Airport,Gimhae International Airport,South Coast Aviation;STAC Swiss Government Flights;Top Sky International,Boeing 737;Boeing 737-400
Liuting Airport,Guangzhou Baiyun International Airport,Servicos De Alquiler;Sheremetyevo-Cargo;Shans Air;Tramson Limited;Volare Airlines,Boeing 737-800;Airbus A319;Airbus A321;Airbus A320
Liuting Airport,Hangzhou Xiaoshan International Airport,Servicos De Alquiler;Sector Airlines;Smalandsflyg;Taxis Aereos De Parral;Sheremetyevo-Cargo;AtlasGlobal Ukraine;Thai Flying Helicopter Service;Tramson Limited;Volare Airlines,Boeing 737-800;Airbus A319;Boeing 737;Airbus A320
Liuting Airport,Hefei Luogang International Airport,Tramson Limited;Servicios Aereos Profesionales;Volare Airlines;Sheremetyevo-Cargo,Embraer 190;Boeing 737-800;Airbus A320
Liuting Airport,Hong Kong International Airport,Cathay Pacific;Tradewinds Airlines,Airbus A330-300;Airbus A320
